numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados_costo,laborados_contrato_imss,SDI Imss,apoyo_salud
2086,Veracruz,15866.64,0,1450,0,0,0,0,0,8000,0,0,0,3600,9000,30.4,30.4,1527.43
2444,Veracruz,6000,0,602.87,0,0,800,0,0,4000,0,0,0,0,0,30.4,30.4,527.81
0040,Veracruz,7000,0,602.87,0,0,0,1200,0,4200,0,0,0,0,0,30.4,30.4,633.43
0088,Veracruz,4000,0,323.37,0,0,0,0,0,0,0,0,0,0,0,30.4,30.4,323.37
2379,Veracruz,7000,0,602.87,0,0,0,1200,0,5000,0,0,0,0,0,30.4,30.4,632.6
3135,Veracruz,7500,0,650.02,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,586.93
2240,Veracruz,6500,1500,555.72,1373.25,0,0,0,0,5000,0,0,0,0,0,30.4,30.4,581.92
2422,Veracruz,7500,0,650.02,0,0,0,0,0,5000,0,0,0,0,0,30.4,30.4,682.97
0086,Veracruz,6000,0,503,0,0,0,0,0,0,0,0,0,0,0,30.4,30.4,525.73
2229,Veracruz,10500,1000,803.12,0,0,0,0,0,6000,0,0,0,2800,0,30.4,30.4,965.58
0071,Veracruz,3500,0,279.6,0,0,0,800,0,3000,0,0,0,0,0,30.4,30.4,293.39
0081,Veracruz,3485,0,248.93,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,261.21
0068,Veracruz,3400,600,271.32,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,283.58
0078,Veracruz,3300,0,263.03,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,274.92
0085,Veracruz,6000,0,503,0,0,0,0,0,0,0,0,0,0,0,30.4,30.4,525.73
2025,Veracruz,5500,0,461.41,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,485.43
0073,Veracruz,3485,200,248.93,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,261.21
0079,Veracruz,3500,0,279.6,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,292.24
2037,Veracruz,10000,0,885.8,0,0,0,0,0,0,0,0,0,2400,2660,30.4,30.4,925.83
0070,Veracruz,5485,0,446.08,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,468.08
0064,Veracruz,5500,0,461.41,0,0,0,2000,0,4200,0,0,0,0,0,30.4,30.4,484.8
2077,Veracruz,6500,0,555.72,0,0,0,0,0,4200,0,0,0,0,0,30.4,30.4,585.41
2407,Veracruz,6000,0,503,0,0,0,2000,0,4200,0,0,0,0,0,30.4,30.4,528.49
0056,Veracruz,5200,0,433.12,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,527.81
639,Veracruz,12000,0,1058,0,0,0,0,0,6000,0,0,0,0,0,30.4,30.4,1110.18
0074,Veracruz,3750,0,296.95,0,0,0,400,0,3000,0,0,0,0,0,30.4,30.4,311.59
0054,Veracruz,7600,0,659.45,0,0,0,0,0,5000,0,0,0,0,0,30.4,30.4,686.66
0026,Veracruz,3400,0,271.32,0,0,800,0,0,2000,0,3153,2000,0,0,30.4,30.4,283.59
0033,Veracruz,7000,0,602.87,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,634.25
2067,Veracruz,6500,0,555.72,0,0,0,2000,0,4200,0,0,0,0,0,30.4,30.4,581.41
0080,Veracruz,3485,0,248.93,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,434.68
0059,Veracruz,5500,500,461.41,0,0,800,0,0,4000,0,0,0,0,0,30.4,30.4,482.27
2026,Veracruz,7000,0,602.87,0,0,0,3000,0,5000,0,0,0,0,0,30.4,30.4,631.77
0087,Veracruz,5000,1200,414.25,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,432.97
0069,Veracruz,5000,0,414.25,0,0,0,0,0,4200,0,0,0,0,0,30.4,30.4,432.97
0060,Veracruz,5400,0,451.98,0,0,0,0,0,0,0,0,0,2000,2450,30.4,30.4,472.41
0077,Veracruz,4000,0,323.37,0,0,0,0,0,0,0,0,0,0,0,30.4,30.4,337.99
0083,Veracruz,6000,0,503,0,0,0,0,0,0,0,0,0,0,0,30.4,30.4,525.73
3189,Veracruz,6500,0,555.72,1059.25,0,0,2300,0,4200,0,0,0,0,0,30.4,30.4,586.17
2214,Veracruz,9000,0,803.03,2383.56,0,0,0,0,6000,0,0,0,0,0,30.4,30.4,848.51
0084,Veracruz,7000,0,602.87,0,0,0,0,0,4200,0,0,0,0,0,30.4,30.4,630.12
0058,Veracruz,6000,0,503,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,527.81
0053,Veracruz,6000,0,501.9,1723.3,0,0,0,0,0,0,0,0,2000,2450,30.4,30.4,524.59
0082,Veracruz,5000,0,414.25,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,434.68
0043,Veracruz,6000,0,503,2310.85,0,0,0,0,4200,0,0,0,0,0,30.4,30.4,525.74
2633,Veracruz,7000,0,602.87,0,0,800,0,0,5000,0,0,0,0,0,30.4,30.4,421.82
0065,Veracruz,4500,600,368.31,0,0,800,0,0,0,0,0,0,0,0,30.4,30.4,386.98
