# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,economicos
2086,Veracruz,0,0,0,12,0,3
2444,Veracruz,0,0,0,12,18,2
0040,Veracruz,0,0,0,0,12,3
0088,Veracruz,0,0,0,0,0,0
2379,Veracruz,0,0,0,0,18,3
3135,Veracruz,0,0,0,9,20,3
2240,Veracruz,0,0,0,6,20,1
2422,Veracruz,0,0,0,0,16,3
0086,Veracruz,0,0,0,0,0,0
2229,Veracruz,0,0,0,0,22,0
0071,Veracruz,0,0,0,0,0,3
0081,Veracruz,0,0,0,0,0,0
0068,Veracruz,0,0,0,0,0,2
0078,Veracruz,0,0,0,0,0,0
0085,Veracruz,0,0,0,0,0,0
2025,Veracruz,0,0,0,0,8,2
0073,Veracruz,0,0,0,0,0,0
0079,Veracruz,0,0,0,0,0,0
2037,Veracruz,0,0,0,22,0,3
0070,Veracruz,0,0,0,0,0,3
0064,Veracruz,0,0,0,0,0,3
2077,Veracruz,0,0,0,0,0,2
2407,Veracruz,0,0,0,2,18,3
0056,Veracruz,0,0,0,6,0,0
639,Veracruz,0,0,1,16,18,0
0074,Veracruz,0,0,0,0,0,3
0054,Veracruz,0,0,0,12,0,0
0026,Veracruz,0,0,0,0,12,3
0033,Veracruz,0,0,0,10,0,2
2067,Veracruz,0,0,0,0,19,3
0080,Veracruz,0,0,0,0,0,0
0059,Veracruz,0,0,0,0,12,2
2026,Veracruz,0,0,0,0,8,2
0087,Veracruz,0,0,0,0,0,0
0069,Veracruz,0,0,0,0,0,3
0060,Veracruz,0,0,0,0,7,1
0077,Veracruz,0,0,0,0,0,0
0083,Veracruz,0,0,0,0,0,0
3189,Veracruz,0,0,0,0,10,2
2214,Veracruz,0,0,0,14,0,0
0058,Veracruz,0,0,0,0,0,0
0053,Veracruz,0,0,0,9,0,2
0082,Veracruz,0,0,0,0,12,3
0043,Veracruz,0,0,0,12,0,3
2633,Veracruz,0,0,0,0,0,0
0065,Veracruz,0,0,0,0,11,0
